Date,Open,High,Low,Close,Adj Close,Volume
2003-12-01,0.991700,0.998640,0.988900,0.994100,0.994100,0
2003-12-02,0.994400,0.997400,0.989300,0.992400,0.992400,0
2003-12-03,0.992000,0.994700,0.987300,0.988000,0.988000,0
2003-12-04,0.987600,0.992300,0.977600,0.983000,0.983000,0
2003-12-05,0.981800,0.987900,0.971100,0.977000,0.977000,0
2003-12-08,0.976300,0.979900,0.969200,0.976900,0.976900,0
2003-12-09,0.977100,0.977100,0.963900,0.966000,0.966000,0
2003-12-10,0.965800,0.972700,0.962900,0.969200,0.969200,0
2003-12-11,0.969400,0.979200,0.959600,0.963500,0.963500,0
2003-12-12,0.963200,0.965400,0.956200,0.959800,0.959800,0
2003-12-15,0.964500,0.966100,0.950200,0.959200,0.959200,0
2003-12-16,0.959700,0.960000,0.947400,0.948700,0.948700,0
2003-12-17,0.949200,0.949900,0.942600,0.944100,0.944100,0
2003-12-18,0.944600,0.946500,0.937100,0.937500,0.937500,0
2003-12-19,0.938000,0.941700,0.934800,0.939800,0.939800,0
2003-12-22,0.939900,0.944900,0.934000,0.944100,0.944100,0
2003-12-23,0.944000,0.965800,0.938300,0.951400,0.951400,0
2003-12-24,0.951100,0.958800,0.947300,0.952600,0.952600,0
2003-12-25,0.953500,0.954000,0.950000,0.951800,0.951800,0
2003-12-26,0.951700,0.960000,0.950600,0.959300,0.959300,0
2003-12-29,0.954800,0.956800,0.950700,0.954200,0.954200,0
2003-12-30,0.953600,0.962100,0.949600,0.959400,0.959400,0
2003-12-31,0.959600,0.961000,0.953500,0.954100,0.954100,0
2004-01-01,0.954300,0.959900,0.954300,0.957400,0.957400,0
2004-01-02,0.957000,0.961900,0.954600,0.961100,0.961100,0
2004-01-05,0.959300,0.964300,0.955700,0.960900,0.960900,0
2004-01-06,0.960800,0.962900,0.954000,0.956400,0.956400,0
2004-01-07,0.956500,0.962800,0.954800,0.960600,0.960600,0
2004-01-08,0.960500,0.965900,0.956500,0.958800,0.958800,0
2004-01-09,0.958500,0.964200,0.951200,0.959900,0.959900,0
2004-01-12,0.958300,0.962900,0.955100,0.961800,0.961800,0
2004-01-13,0.961300,0.963900,0.958000,0.959300,0.959300,0
2004-01-14,0.958900,0.967700,0.949200,0.953900,0.953900,0
2004-01-15,0.955000,0.962400,0.953900,0.959400,0.959400,0
2004-01-16,0.958900,0.976900,0.958500,0.971900,0.971900,0
